书名,作品信息,得分
一个陌生女人的来信,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7
温柔的夜,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,9.1
爱的艺术,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8
万水千山走遍,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,8.9
草房子,曹文轩 / 江苏少年儿童出版社 / 2009-6 / 18.00元,9.0
全球通史(上),[美]斯塔夫里阿诺斯 / 吴象婴 / 北京大学出版社 / 2006-1-10 / 42.00,9.2
德米安,[德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元,8.9
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.8
不能承受的生命之轻,米兰·昆德拉 / 许钧 / 上海译文出版社 / 2010-8 / 29.00元,8.8
亮剑,都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,9.0
球状闪电,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7
半生缘,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.60元,9.1
翦商,李硕 / 广西师范大学出版社 / 2022-10 / 99.00元,9.0
霸王别姬,李碧华 / 人民文学出版社 / 1999-1 / 10.20元,9.1
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 / 方祖芳 / 花城出版社 / 2014-6-15 / 34.80元,9.1
古文观止,吴楚材 / 中华书局 / 1987-1-1 / 21.00元,9.1
冰与火之歌,[美]乔治·R.R.马丁 / 谭光磊 / 重庆出版社 / 2013-10-1 / 330.00元,9.5
恶意,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11 / 39.50元,8.7
我的阿勒泰,李娟 / 云南人民出版社 / 2010-7 / 25.00元,8.9
天朝的崩溃,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,9.4
生死疲劳,莫言 / 浙江文艺出版社 / 2022-1 / 69.90,9.0
社会心理学,[美] 戴维·迈尔斯 / 张智勇 / 人民邮电出版社 / 2006-1 / 68.00元,9.0
东晋门阀政治,田余庆 / 北京大学出版社 / 2012-5 / 49.00元,9.5
明亮的夜晚,[韩]崔恩荣 / 叶蕾 / 台海出版社 / 2023-8 / 52,9.0
倾城之恋,张爱玲 / 北京十月文艺出版社 / 2012-6-1 / 29.80元,8.9
我也有一个梦想,林达 / 生活·读书·新知三联书店 / 2004-08 / 25.00元,9.0
天生有罪,[南非] 特雷弗·诺亚 / 董帅 / 北京联合出版公司 / 2018-2-1 / 58.00,9.0
亲密关系（第6版）,[美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译 / 人民邮电出版社 / 2015-6 / 138.00元,9.2
麦琪的礼物,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.7
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6-1 / CNY 20.00,9.0
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元,8.7
李光耀观天下,李光耀 / 北京大学出版社 / 2015-6 / 58.00元,9.2
激荡三十年（上）,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00,8.8
大明王朝1566,刘和平 / 花城出版社 / 2016-7 / 88.00元,9.5
雕刻时光,[苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元,9.5
在细雨中呼喊,余华 / 作家出版社 / 2012-11-1 / 25.00元,8.8
万物有灵且美,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,8.9
理想国,[古希腊] 柏拉图 / 郭斌和 / 商务印书馆 / 1986-8 / 28.00元,8.8
倚天屠龙记,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00,8.7
情书,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6
父权制与资本主义,[日] 上野千鹤子 / 邹韵 / 浙江大学出版社 / 2020-3 / 58.00元,9.2
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7
荒原狼,[德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00,9.0
足利女童连续失踪事件,[日] 清水洁 / 曾玉婷 / 文汇出版社 / 2022-7 / 49.00元,9.0
当呼吸化为空气,[美] 保罗·卡拉尼什 / 何雨珈 / 浙江文艺出版社 / 2016-12 / 48.00元,8.9
罗生门,[日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7
送你一颗子弹,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6
雷雨,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.7
雨季不再来,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,8.8
最好的我们,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.7
一千零一夜,纳训 / 人民文学出版社 / 2003-01 / 22.00,8.8
帷幕,[英]阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00,9.1
九州·缥缈录,江南 / 新世界出版社 / 2005-6 / 20.00元,8.8
从零开始的女性主义,[日本] 上野千鹤子 / 吕灵芝 / 北京联合出版公司 / 2021-9 / 52.00元,8.7
孙子兵法,孙武 / 郭化若 / 上海古籍出版社 / 2006-7 / 20.00元,9.4
孩子你慢慢来,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.7
水浒传（全二册）,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.7
浮生六记,（清）沈复 / 人民文学出版社 / 1999-1 / 38,8.7
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 / 叶李华 / 江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,9.5
渴望生活,[美] 欧文·斯通 / 常涛 / 北京十月文艺出版社 / 2008-4 / 29.80元,9.1
骆驼祥子,老舍 / 人民文学出版社 / 1962-10-1 / 12.00元,8.6
庄子,孙通海 译注 / 孙通海  译注 / 中华书局 / 2007-04 / 20.00元,9.4
现代艺术150年,[英] 威尔·贡培兹 / 王烁 / 广西师范大学出版社 / 2017-3 / 65.00元,9.2
论语,刘胜利 / 中华书局 / 2006-12 / 9.80元,9.1
银河系漫游指南,[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,8.8
你好，旧时光（上 下）,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7
野火集,龙应台 / 文汇出版社 / 2005-8 / 25.00元,8.7
不存在的骑士,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 22.00元,8.9
显微镜下的大明,马伯庸 / 湖南文艺出版社 / 2019-1 / 52.00元,8.7
跨越边界的社区（修订版）,项飙 / 生活·读书·新知三联书店 / 2018-3 / 68.00元,9.4
坟,鲁迅 / 人民文学出版社 / 2006-12 / 16.00元,9.6
会饮篇,[古希腊] 柏拉图 / 王太庆 / 商务印书馆 / 2013-1 / 12.00元,9.3
你一生的故事,[美] 特德·姜 / 李克勤 / 译林出版社 / 2015-5 / 36.00元,8.8
象棋的故事,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 23.00元,9.1
包法利夫人,福楼拜 / 李健吾 / 人民文学出版社 / 2003-1-1 / CNY 28.00,9.1
挽救计划,[美] 安迪·威尔 / 耿辉 / 译林出版社 / 2021-9 / 68.00,9.1
规训与惩罚,[法] 米歇尔·福柯 / 刘北成 / 生活·读书·新知三联书店 / 2003-1 / 21.80元,9.3
火星救援,[美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10 / 38.00,8.9
命运,蔡崇达 / 浙江文艺出版社 / 2022-9-5 / 59.80元,8.9
分成两半的子爵,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 20.00元,8.8
认识电影,[美] 路易斯·贾内梯 / 焦雄屏 / 世界图书出版公司 / 2007-11 / 68.00元,8.9
解忧杂货店,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5
奥斯维辛,[英] 劳伦斯·里斯 / 刘爽 / 广西师范大学出版社 / 2016-9 / 79.00元,9.5
二手时间,[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,8.9
金锁记,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.6
哈姆莱特,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,8.7
时间的秩序,[意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元,8.9
黑箱：日本之耻,[日] 伊藤诗织 / 匡匡 / 雅众文化/中信出版集团 / 2019-4 / 48.00元,8.9
顾城的诗,顾城 / 人民文学出版社 / 1998-12 / 20.00,8.8
看不见的女性,卡罗琳·克里亚多·佩雷斯 / 詹涓 / 新星出版社 / 2022-8 / 69.00元,9.1
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 / 冯亦代 / 译林出版社 / 2012-11 / 36.00元,9.1
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 / 谢延光 / 上海译文出版社 / 2006-4-1 / 45.00元,8.7
上学记,何兆武 口述 / 生活·读书·新知三联书店 / 2006-8 / 19.80元,8.9
