书名: 天生有罪, 作品信息: [南非] 特雷弗·诺亚 / 董帅 / 北京联合出版公司 / 2018-2-1 / 58.00, 得分：9.0
书名: 亲密关系（第6版）, 作品信息: [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译 / 人民邮电出版社 / 2015-6 / 138.00元, 得分：9.2
书名: 麦琪的礼物, 作品信息: [美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元, 得分：8.7
书名: 海风中失落的血色馈赠, 作品信息: [加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6-1 / CNY 20.00, 得分：9.0
书名: 一桩事先张扬的凶杀案, 作品信息: [哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元, 得分：8.7
书名: 李光耀观天下, 作品信息: 李光耀 / 北京大学出版社 / 2015-6 / 58.00元, 得分：9.2
书名: 激荡三十年（上）, 作品信息: 吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00, 得分：8.8
书名: 大明王朝1566, 作品信息: 刘和平 / 花城出版社 / 2016-7 / 88.00元, 得分：9.5
书名: 雕刻时光, 作品信息: [苏] 安德烈·塔可夫斯基 / 张晓东 / 南海出版公司 / 2016-5 / 45.00元, 得分：9.5
书名: 在细雨中呼喊, 作品信息: 余华 / 作家出版社 / 2012-11-1 / 25.00元, 得分：8.8
书名: 万物有灵且美, 作品信息: [英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80, 得分：8.9
书名: 理想国, 作品信息: [古希腊] 柏拉图 / 郭斌和 / 商务印书馆 / 1986-8 / 28.00元, 得分：8.8
书名: 倚天屠龙记, 作品信息: 金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00, 得分：8.7
书名: 情书, 作品信息: [日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元, 得分：8.6
书名: 父权制与资本主义, 作品信息: [日] 上野千鹤子 / 邹韵 / 浙江大学出版社 / 2020-3 / 58.00元, 得分：9.2
书名: 尼罗河上的惨案, 作品信息: [英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元, 得分：8.7
书名: 荒原狼, 作品信息: [德]赫尔曼·黑塞 / 赵登荣 / 上海译文出版社 / 2008-7 / 13.00, 得分：9.0
书名: 足利女童连续失踪事件, 作品信息: [日] 清水洁 / 曾玉婷 / 文汇出版社 / 2022-7 / 49.00元, 得分：9.0
书名: 当呼吸化为空气, 作品信息: [美] 保罗·卡拉尼什 / 何雨珈 / 浙江文艺出版社 / 2016-12 / 48.00元, 得分：8.9
